close,volume,date,high,low
1.5837926311,13681.03,2022-01-31T23:59:59.999Z,1.6741327781,1.4956749142
1.6608765975,56149.56,2022-02-01T23:59:59.999Z,1.7353646614,1.5779868069
1.7170127351,28462.02,2022-02-02T23:59:59.999Z,1.9391931698,1.6326339463
1.6859343441,12278.41,2022-02-03T23:59:59.999Z,1.7265807963,1.6272750987
1.7421983551,12594.03,2022-02-04T23:59:59.999Z,1.7445272343,1.6328104517
1.8724153955,18297.24,2022-02-06T23:59:59.999Z,1.9932705971,1.7542473443
1.9153296765,18581.62,2022-02-07T23:59:59.999Z,1.9381504329,1.8420846616
1.9206414539,23668.09,2022-02-08T23:59:59.999Z,1.9835151791,1.8718558834
1.9960751104,20607.2,2022-02-09T23:59:59.999Z,2.0397482327,1.8937098614
1.9261442275,19312.78,2022-02-10T23:59:59.999Z,2.0176576968,1.9242736565
1.9761865726,24205.76,2022-02-12T23:59:59.999Z,2.0226613212,1.955317916
1.9843563502,13602.97,2022-02-13T23:59:59.999Z,2.0055208081,1.9604012205
2.0015650255,14462.55,2022-02-14T23:59:59.999Z,2.0128322347,1.6133034566
2.1799075152,12369.86,2022-02-15T23:59:59.999Z,2.1806724333,1.9995594039
2.1637180048,9795.04,2022-02-16T23:59:59.999Z,2.1799929858,2.114743733
2.1498601393,20130.47,2022-02-18T23:59:59.999Z,2.1576599907,2.123807271
2.1614035252,10161.72,2022-02-19T23:59:59.999Z,2.1660890074,2.1147603552
2.1580108983,7488.5,2022-02-20T23:59:59.999Z,2.175518784,2.1307498404
2.1643609277,13409.63,2022-02-21T23:59:59.999Z,2.2000064528,2.1453362989
2.1857748879,10825.66,2022-02-22T23:59:59.999Z,2.2238604227,2.1473107527
2.1528891687,25415.05,2022-02-24T23:59:59.999Z,2.220284345,2.1341084075
2.1761608087,7273.58,2022-02-25T23:59:59.999Z,2.1922135601,2.14408786
2.1682330521,5495.84,2022-02-26T23:59:59.999Z,2.1842364101,2.1417752271
2.1485292032,22061.71,2022-02-27T23:59:59.999Z,2.1935736369,2.1463805313
2.2591778161,8352.96,2022-02-28T23:59:59.999Z,2.2651878736,2.1422322004
2.2407191904,11120.24,2022-03-02T23:59:59.999Z,2.2834102334,2.2129678422
2.2703484181,6731.65,2022-03-03T23:59:59.999Z,2.2789315192,2.2131289409
2.2010644828,8394.16,2022-03-04T23:59:59.999Z,2.2945281686,2.2002514732
2.2174234092,9091.8,2022-03-05T23:59:59.999Z,2.2583851429,2.1799155763
2.1648087341,11416.54,2022-03-06T23:59:59.999Z,2.2313384947,2.1630669473
