Date(UTC),price,Supply,MarketCap,Price,supply growth,daily trans.,No. of ERC20 Token Transfers,uniq. address,avg blk size,avg blk time,avg gas price,avg gas limit,daily gas used,daily blk reward,blk count reward,uncle count reward,net hashrte,net diff.,net trans. fee,net util.,,
,0,7/30/2015,0,72049306.59,0,0,72049306.59,8893,0,9205,644,4.46,0,0,0,39316.09375,6912,1299,11.5297,0.121,0,0
,1,7/31/2015,0,72085498.31,0,0,72085498.31,0,0,9361,582,12.58,0,0,0,36191.71875,6863,511,51.4594,0.603,0,0
,2,8/1/2015,0,72113204.25,0,0,72113204.25,0,0,9476,575,16.34,0,0,0,27705.9375,5293,334,57.7845,0.887,0,0
,3,8/2/2015,0,72141427.69,0,0,72141427.69,0,0,9563,581,16.12,0,0,0,28223.4375,5358,394,67.9224,1.02,0,0
,4,8/3/2015,0,72169404.41,0,0,72169404.41,0,0,9639,587,16.37,0,0,0,27976.71875,5280,443,74.5737,1.126,0,0
,5,8/4/2015,0,72197882.84,0,0,72197882.84,0,0,9696,587,16.1,0,0,0,28478.4375,5368,458,82.0352,1.217,0,0
,6,8/5/2015,0,72225411.44,0,0,72225411.44,0,0,9749,579,16.51,0,0,0,27528.59375,5235,371,86.1558,1.328,0,0
,7,8/6/2015,0,72252486.91,0,0,72252486.91,0,0,9790,584,16.89,0,0,0,27075.46875,5116,411,88.3326,1.381,0,0
,8,8/7/2015,2.77,72279924.56,200.215391,2.77,72279924.56,2050,0,10314,633,16.65,6.04684E+11,122980,49353826,27437.65625,5189,409,95.2981,1.471,3.73184E+19,0.1317
,9,8/8/2015,0.81,72307868,58.56937308,0.81,72307868,2881,0,10730,668,16.44,3.22714E+11,1940277,376006093,27943.4375,5256,458,104.8971,1.586,6.81E+19,0.0468
,10,8/9/2015,0.74,72335046.28,53.52793425,0.74,72335046.28,1329,0,11004,618,16.86,4.75467E+11,3141325,38863003,27178.28125,5123,421,109.6916,1.709,1.40989E+19,0.0024
,11,8/10/2015,0.68,72362863.63,49.20674727,0.68,72362863.63,2037,0,11679,631,16.44,4.21655E+11,3141511,74070061,27817.34375,5255,415,120.5988,1.838,3.11651E+19,0.0045
,12,8/11/2015,1.06,72390891.44,76.73434492,1.06,72390891.44,4963,0,13576,692,16.37,77838819162,3141521,163481740,28027.8125,5280,438,134.7695,2.036,1.13114E+19,0.0099
